LanguageId	LanguageValue
Login	Inloggen
Machines	Machines
Birth	Installatie datum
SKU #	SKU-nr.
Serial #	Serienr.
Device serial #	Serienummer machine
Machine SKU #	SKU-nr. machine
Machine serial #	Serienr. machine
Facility name	Naam instelling
Machine configuration	Machineconfiguratie
Cases	Casus
Help tickets	Help-tickets
Doctors	Artsen
Support team	Ondersteuningsteam
No cases to display	Geen casus om weer te geven
No tickets to display	Geen tickets om weer te geven
VNC	VNC
No doctors to display	Geen artsen om weer te geven
No support team members to display	Geen leden ondersteuningsteam om weer te geven
Pair doctor	Arts koppelen
Pair support person	Ondersteuningsmedewerker koppelen
Users	Gebruikers
Support	Ondersteuning
Surgeon	Chirurg
Last name	Achternaam
Service	Service
Sales	Verkoop
First name	Voornaam
Information	Informatie
Mobile phone	Telefoonnummer mobiel
Email	E-mail
Edit user	Gebruiker bewerken
Pair machine	Machine koppelen
Files	Bestanden
No files to display	Geen bestanden om weer te geven
Select one	Selecteer een
Clear	Wissen
Case stop time range	Bereik eindtijdstip casus
Doctor name	Naam arts
Select start date	Selecteer begindatum
Select end date	Selecteer einddatum
Apply	Toepassen
Ticket start time range	Bereik begintijdstip ticket
Assigned user	Toegewezen gebruiker
Ticket status	Status ticket
Ticket reason	Reden ticket
View case	Casus weergeven
View ticket	Ticket weergeven
Unpair user	Koppeling met gebruiker verbreken
Surgeon summary	samenvatting chirurg
Case log details	Details casus
Settings file	Instellingenbestand
Technique	Techniek
No change has been made	Er is niets gewijzigd
Case time	Duur casus
Total time	Totale tijd
Fluid level	Vloeistofniveau
phaco	phaco
I/A	I/A
Vit	Vit
Frag	Frag.
Extrude	Uitwerpen
Vitesse	Vitesse
Grade	Graad
Infusion	Infusie
Elevated infusion	Verhoogde infusie
Vacuum	Vacuüm
U/S Average	U/S gemiddeld
U/S EPT	U/S EPT
Coag	Coag
Laser	Laser
Laser shots	Lasershots
Cancel	Annuleren
No case log details to view	Geen details casuslog om weer te geven
