LanguageId	LanguageValue
Login	Connexion
Machines	Equipements
Birth	Création
SKU #	SKU
Serial #	S/N
Device serial #	S/N Dispositif
Machine SKU #	SKU Equipement
Machine serial #	S/N Equipement
Facility name	Nom de l’établissement
Machine configuration	Configuration
Cases	Cas
Help tickets	Tickets d’aide
Doctors	Médecins
Support team	Équipe de service technique
No cases to display	Aucun cas à afficher
No tickets to display	Aucun ticket à afficher
VNC	VNC
No doctors to display	Aucun médecin à afficher
No support team members to display	Aucun membre du service technique à afficher
Pair doctor	Associer un médecin
Pair support person	Associer Ingénieur SAV
Users	Utilisateurs
Support	SAV
Surgeon	Chir.
Last name	Nom
Service	Service
Sales	Ventes
First name	Prénom
Information	Information
Mobile phone	Tél. Mobile
Email	E-Mail
Edit user	Modifier l’utilisateur
Pair machine	Associer Equipement
Files	Fichiers
No files to display	Aucun fichier à afficher
Select one	Sélectionner un
Clear	Effacer
Case stop time range	Période de fin du cas
Doctor name	Nom du médecin
Select start date	Sélectionner la date de début
Select end date	Sélectionner la date de fin
Apply	Appliquer
Ticket start time range	Période de début du ticket
Assigned user	Utilisateur affecté
Ticket status	État du ticket
Ticket reason	Raison du ticket
View case	Afficher le cas
View ticket	Afficher le ticket
Unpair user	Dissocier l’utilisateur
Surgeon summary	Récapitulatif du chirurgien
Case log details	Détails du journal de cas
Settings file	Fichier de paramètres
Technique	Technique
No change has been made	Aucun changement n’a été fait
Case time	Durée du cas
Total time	Durée totale
Fluid level	Niveau de liquide
phaco	Phaco
I/A	I/A
Vit	Vit
Frag	Frag
Extrude	Extrusion
Vitesse	Vitesse
Grade	Degré
Infusion	Perfusion
Elevated infusion	Perfusion augmentée
Vacuum	Vide
U/S Average	Moyenne U/S
U/S EPT	U/S EPT
Coag	Coag
Laser	Laser
Laser shots	Tir laser
Cancel	Annuler
No case log details to view	Aucun détail du journal de cas à afficher
You do not have permission to view this	Vous n’avez pas la permission d’afficher ceci
You have incomplete birth process. Do you want to continue?	Vous avez un processus de création incomplet. Voulez-vous continuer ?
Info	Infos
Yes	Oui
No	Non
Register system	Enregistrer Système
Activate sim	Activer sim
System SKU	SKU du système
System serial	Série du système
MQTT ID	ID MQTT
MQTT Password	Mot de passe MQTT
Gateway part #	No. de pièce de la passerelle
Gateway serial #	No. de série de la passerelle
Gateway password	Mot de passe de la passerelle
SIM part number	Numéro de pièce de SIM
SIM ICCID	ICCID de SIM
Cell Carrier	Support cellulaire
SIM EAP code	Code EAP de SIM
Enter gateway password	Saisir le mot de passe de la passerelle
Enter gateway serial	Saisir le numéro de série de la passerelle
Enter gatway part #	Saisir le numéro de pièce de la passerelle
Enter SIM ICCID	Saisir l’ICCID du SIM
Select EAP code	Sélectionner le code EAP
Save file	Enregistrer le fichier
Select SKU	Sélectionner le SKU
EX:	EX :
Error	Erreur
Register machine	Enregistrer Equipement
File status	État du fichier
OK	OK
Region	Zone
Facility	Établissement
SKU	SKU
Get me help enabled	Obtenir de l’aide activé
Sales status	État des ventes
Sales status date range	Période d’état des ventes
Birth date range	Plage des dates de création
Enter facility name	Saisir le nom de l’établissement
Enable	Activé
Disable	Désactivé
None	Aucune
Not Placed	Non placé
Not for sale	Pas à vendre
Demo	Démo
Sold	Vendu
Lease	Location
Placement	Placement
Enter system serial number	Saisir le numéro de série du système
No machines to display	Aucun Equipement à afficher
Enter doctor last name	Saisir le nom de famille du médecin
Unpair from this machine	Dissocier Equipement
Role	Rôle
Validate email	Valider l’Email
Sub role(s)	Sous-rôle(s)
BART_SART	BART_SART
Get change emails?	Recevoir des emails en cas de changement ?
Remote connect allowed?	Connexion à distance autorisée ?
Enter first name	Saisir le prénom
Enter last name	Saisir le nom de famille
Enter user email	Saisir l’email de l’utilisateur
Enter phone number	Saisir le numéro de téléphone
Select role	Sélectionner le rôle
Select sub role	Sélectionner un sous-rôle
Select zone	Sélectionner une zone
Save & pair with this machine	Enregistrer et associer à cette machine
Ticket #	Ticket #
Start time	Heure de début
Close time	Heure de fermeture
Status	État
Contact name	Nom du contact
Contact number	Numéro du contact
Surgeon settings name	Nom des paramètres du chirurgien
Machine errors	Erreurs de machine
Notes	Remarques :
Responder list	Liste des répondants
Assigned user list	Liste des utilisateurs affectés
Add note	Ajouter une note
Unpair machine	Dissocier la machine
Password	Mot de passe
Confirm password	Confirmer le mot de passe
Business Unit	Unité commerciale
Area	Zone
Territory	Territoire
Created by	Créé par
Delete	Supprimer
Sales Admin	Administration des ventes
Sales Manager	Responsable des ventes
Field Sales	Ventes sur le terrain
Lens Rep	Représentant de la lentille
Applications	Applications
Data Analyst	Analyste de données
Marketing	Marketing
Admin	Administrateur
Customer Service	Service-Clients
Service Manager	Responsable de service
Field Service	Service sur le terrain
Technical Support	Service technique
Manufacturing	Fabricant
R&D Users	Utilisateurs de R & D
New	Nouveau
In Process	En cours
Reassigned	Réaffecté
Closed and Resolved	Fermé et résolu
Closed and Unresolved	Fermé et non résolu
Expired	Expiré
Setup	Configuration
Order Packs	Commander des packs
Another Issue	Un autre problème
RemConn	Connexion à distance
Current Machine Configuration	Configuration actuelle de la machine
Past EDHR	Historique eDHR (Electronic Device History Records)
Machine Life Data	Données en lien avec la machine
EDHR	Configuration actuelle eDHR (electronic Device History Records)
Life Data	Données de vie
Machine Status	Etat de la machine
Not Updated	Pas mis à jour
Are you sure you want to change the mobile connection status?.	Êtes-vous sûr de vouloir changer l'état de la connexion mobile?
days	Jours
Facility Address	Adresse de l'établissement
Facility ID	Identifiant de l'établissement
Customer Account #	Compte client #
Cases Associated with Machine	Cas associés à la machine
Sales Region	Région vente
System Birth Date	Date de fabrication du système
Placed By	Installation par
Mobile Connection	Connexion mobile
SIM Change	Changement de carte SIM
Change	Changement
SIM Plan	Plan SIM
No Records To Display	Aucun enregistrement à afficher
Save	Sauvegarder
Close	Fermer
Create	Créer
Edit	Modifier
Find Doctor	Trouver un docteur
Dr.	Dr.
Pair to this machine	Associer à cette machine
Enter Email	Entrer Email
NPI	Identifiant chirurgien
Enter NPI	Entrer l'identifiant chirurgien
EULA Created Date	Date de création des CGU (condition générales d'utilisation)
EULA Accepted	CGU acceptées
EULA Accepted Date	Date d'acception des CGU
Find User	Trouver un utilisateur
Create User	Créer un utilisateur
Enter User Last Name	Entrez le nom d'utilisateur
You are about to exit the App. Are you sure?	Vous êtes sur le point de quitter l'application. Êtes-vous sûr?
This process requires physical access to the machine to complete. Are you sure you want to proceed?	Ce processus nécessite une intervention matérielle sur la machine. Êtes-vous sûr de vouloir continuer?
Are you sure you want to delete this user?	Êtes-vous sûr de vouloir supprimer cet utilisateur?
Confirmation	Confirmation
Please connect to a network and try again.	Veuillez vous connecter à un réseau et réessayer.
SSO is not enabled. Please contact your administrator.	SSO (authentification unique) n'est pas activé. Veuillez contacter votre administrateur.
Not a valid cloud user	Utilisateur de cloud non valide
Start date should be less than End date	La date de début doit être antérieure à la date de fin
Unauthorized	Non autorisé
Session Expired. Please Login.	La session a expiré. Veuillez vous connecter.
Success	Succès
Error Saving File	Erreur d'enregistrement du fichier
SIM Status	État de la carte SIM
Current SIM Status	État actuel de la carte SIM
Required Fields	Champs obligatoires
EAP Code	Code EAP
Please Enter Required Fields	Veuillez entrer les champs obligatoires
Device record update failed	Mise à jour de l'enregistrement du périphérique a échoué
Device record update successful	Mise à jour de l'enregistrement de périphérique réussie
Verification email sent to specific email account.	Un mail de vérification a été envoyé sur la boite mail concernée.
User details has been updated.	Les détails de l'utilisateur ont été mis à jour.
You have paired a support person with this machine	Vous avez associé une personne référente (support) à cette machine
You have created a support person	Vous avez créé une personne référente (support)
Your ticket has been updated.	Votre dossier a été mis à jour.
Reason, Status and Notes fields are required	Les champs Motif, Statut et Notes sont obligatoires
Too Many Requests	Trop de demandes
500 Internal Server Error	500 - Erreur serveur interne
