LanguageId	LanguageValue
Login	Login
Machines	Geräte
Birth	Erstellung
SKU #	Artikelnummer
Serial #	Seriennummer
Device serial #	Seriennummer des Produkts
Machine SKU #	Artikelnummer
Machine serial #	Seriennummer
Facility name	Name der Einrichtung
Machine configuration	Gerätekonfiguration
Cases	Chirurgische Behandlungen
Help tickets	Support-Anfragen
Doctors	Ärzte
Support team	Support-Team
No cases to display	Keine Behandlungen vorhanden
No tickets to display	Keine Anfragen vorhanden
VNC	VNC (Virtuelle Netzwerkverbindung)
No doctors to display	Keine Ärzte vorhanden
No support team members to display	Keine Support-Mitarbeiter vorhanden
Pair doctor	Arzt koppeln
Pair support person	Support-Mitarbeiter koppeln
Users	Benutzer
Support	Support
Surgeon	Chirurg/in
Last name	Nachname
Service	Service
Sales	Vertrieb
First name	Vorname
Information	Informationen
Mobile phone	Mobiltelefon
Email	E-Mail
Edit user	Benutzer bearbeiten
Pair machine	Gerät koppeln
Files	Dateien
No files to display	Keine Dateien vorhanden
Select one	Auswählen
Clear	Leeren
Case stop time range	Zeitspanne für Behandlungsende
Doctor name	Name des Arztes
Select start date	Start-Datum wählen
Select end date	End-Datum wählen
Apply	Anwenden
Ticket start time range	Zeitrahmen für Anfragenbeginn
Assigned user	Zugewiesener Benutzer
Ticket status	Status der Anfrage
Ticket reason	Grund der Anfrage
View case	Behandlung anzeigen
View ticket	Details
Unpair user	entkoppeln
Surgeon summary	Chirurg/in Übersicht
Case log details	Protokoll der Behandlung
Settings file	Datei-Einstellungen
Technique	OP-Technik
No change has been made	Keine Änderung vorgenommen
Case time	Behandlungszeit
Total time	Gesamtzeit
Fluid level	Flüssigkeitspegel
phaco	Phako
I/A	I/A
Vit	Vit
Frag	Frag
Extrude	Extrudieren
Vitesse	Vitesse
Grade	Grad
Infusion	Infusion
Elevated infusion	Erhöhter Infusionsdruck
Vacuum	Vakuum
U/S Average	US-Durchschnitt
U/S EPT	US-EPT
Coag	Koag
Laser	Laser
Laser shots	Laserstrahl
Cancel	Abbrechen
No case log details to view	Kein Protokoll der Behandlung angezeigt
You do not have permission to view this	Sie haben keine Berechtigung für diese Anzeige
You have incomplete birth process. Do you want to continue?	Sie haben einen unvollständigen Erstellungsprozess. Möchten Sie fortfahren?
Info	Information
Yes	Ja
No	Nein
Register system	System registrieren
Activate sim	SIM aktivieren
System SKU	System-SKU
System serial	Seriennummer des Systems
MQTT ID	MQTT-Kontoname
MQTT Password	MQTT-Kennwort
Gateway part #	Gateway-Teilenummer
Gateway serial #	Gateway-Seriennummer
Gateway password	Gateway-Kennwort
SIM part number	SIM-Teilenummer
SIM ICCID	SIM-Kartennummer (ICCID)
