LanguageId	LanguageValue
Login	Accesso
Machines	Macchine
Birth	Nascita
SKU #	Num. SKU
Serial #	Numero di serie
Device serial #	N. di serie del dispositivo
Machine SKU #	Codice SKU della macchina
Machine serial #	Numero seriale della macchina
Facility name	Nome struttura
Machine configuration	Configurazione della macchina
Cases	Casi
Help tickets	Richiesta di supporto
Doctors	Chirurghi
Support team	Team assistenza tecnica
No cases to display	Nessun caso da visualizzare
No tickets to display	Nessun ticket da visualizzare
VNC	Connessione alla rete virtuale
No doctors to display	Nessun chirurgo da visualizzare
No support team members to display	Nessun membro del team di assistenza tecnica
Pair doctor	Abbina chirurgo
Pair support person	Abbina la persona di supporto
Users	Utenti
Support	Assistenza
Surgeon	Chirurgo
Last name	Cognome
Service	Servizio
Sales	Vendite
First name	Nome
Information	Informazioni
Mobile phone	Cellulare
Email	E-mail
Edit user	Modifica utente
Pair machine	Abbina macchina
Files	File
No files to display	Nessun file da visualizzare
Select one	Seleziona uno
Clear	Azzera
Case stop time range	Intervallo di tempo termine caso
Doctor name	Nome del chirurgo
Select start date	Seleziona data di inizio
Select end date	Seleziona data di fine
Apply	Applica
Ticket start time range	Ora di inizio della richiesta di supporto
Assigned user	Utente assegnato
Ticket status	Stato della richiesta
Ticket reason	Motivo della richiesta
View case	Visualizza caso
View ticket	Visualizza richiesta
Unpair user	Annulla abbinamento utente
Surgeon summary	Riepilogo del chirurgo
Case log details	Dettagli del registro casi
Settings file	File impostazioni
Technique	Tecnica
No change has been made	Non è stata apportata alcuna modifica
Case time	Ora del caso
Total time	Tempo totale
Fluid level	Livello di fluido
phaco	faco
I/A	I/A
Vit	Vit
Frag	Framm
Extrude	Estrusione
Vitesse	Vitesse
Grade	Grado
Infusion	Infusione
Elevated infusion	Infusione elevata
Vacuum	Vuoto
U/S Average	Media U/S
U/S EPT	U/S effettivi
Coag	Coagulazione
Laser	Laser
Laser shots	Spot Laser
Cancel	Annulla
No case log details to view	Nessun dettaglio del registro casi da visualizzare
You do not have permission to view this	Non sei autorizzato a questa visualizzazione
You have incomplete birth process. Do you want to continue?	Creazione incompleta. Desideri continuare?
Info	Info
Yes	Sì
No	No
Register system	Sistema di registro
Activate sim	Attiva sim
System SKU	SKU del sistema
System serial	Num. di serie del sistema
MQTT ID	ID MQTT
MQTT Password	Password MQTT
Gateway part #	Num. parte gateway
Gateway serial #	Num. seriale gateway
Gateway password	Password  gateway
SIM part number	Codice SIM
SIM ICCID	ICCID SIM
Cell Carrier	Gestore cellulare
SIM EAP code	Codice EAP SIM
Enter gateway password	Inserire la password  gateway
Enter gateway serial	Inserire numero seriale gateway
Enter gatway part #	Inserire il codice della parte del gateway
Enter SIM ICCID	Inserire ICCID della SIM
Select EAP code	Seleziona il codice EAP
Save file	Salva il file
Select SKU	Seleziona SKU
EX:	Esempio
Error	Errore
Register machine	Registra la macchina
File status	Stato del file
OK	OK
Region	Regione
Facility	Struttura
SKU	SKU
Get me help enabled	Funzione di aiuto attivata
Sales status	Stato delle vendite
Sales status date range	Intervallo di tempo delle date dello stato delle vendite
Birth date range	Range data di nascita
Enter facility name	Inserire il nome della struttura
Enable	Abilita
Disable	Disabilita
None	Nessuno
Not Placed	Non posizionato
Not for sale	Non in vendita
Demo	Demo
Sold	Venduto
Lease	Locazione
Placement	Posizionamento
Enter system serial number	Inserire il numero di serie del sistema
No machines to display	Nessuna macchina da visualizzare
Enter doctor last name	Inserire il cognome del chirurgo
Unpair from this machine	Annulla abbinamento di questa macchina
Role	Ruolo
Validate email	Convalida e-mail
Sub role(s)	Ruoli secondari
BART_SART	BART_SART
Get change emails?	Ricevi e-mail di modifica?
